text,hap_val,ang_val,sad_val,fea_val,dis_val,EMO_lab
"nie zrobimy tego inaczej niż przyjmując pakiet demokratyczny, pakiet konstytucyjny Kukiza. My się z nim na ten temat dogadaliśmy. Trzeba doprowadzić do, po pierwsze, co jest chyba najważniejsze, rozdzielenia funkcji prokuratora generalnego i ministra sprawiedliwości;",0.46,0.39,0.34,0.35,0.34,HAP
"nie zrobimy tego inaczej niż przyjmując pakiet demokratyczny, pakiet konstytucyjny Kukiza. My się z nim na ten temat dogadaliśmy. wyboru prokuratora generalnego w wyborach powszechnych;",1.03,0.56,0.54,0.76,0.42,HAP
"nie zrobimy tego inaczej niż przyjmując pakiet demokratyczny, pakiet konstytucyjny Kukiza. My się z nim na ten temat dogadaliśmy. ale trzeba wprowadzić też więcej kontroli społecznej w wymiarze sprawiedliwości.",0.48,0.33,0.32,0.4,0.27,HAP
"bo ten bałagan, bajzel który zrobili w wymiarze sprawiedliwości rządzący jest niedopuszczalny Sytuację trzeba uporządkować",0.58,0.39,0.37,0.46,0.35,HAP
"nie zrobimy tego inaczej niż przyjmując pakiet demokratyczny, pakiet konstytucyjny Kukiza. My się z nim na ten temat dogadaliśmy. bo ten bałagan, bajzel który zrobili w wymiarze sprawiedliwości rządzący jest niedopuszczalny",0.59,0.38,0.38,0.42,0.32,HAP
"bo reformę sądownictwa, którą dobrze zdiagnozowali rządzący, że Polacy chcą zreformować sądownictwo, ale nie chcą więcej polityki wymiaru sprawiedliwości, Sędziowie pokoju to jest szansa na rozwiązanie problemów najprostszych,",2.17,1.53,1.56,1.86,1.37,HAP
"bo reformę sądownictwa, którą dobrze zdiagnozowali rządzący, że Polacy chcą zreformować sądownictwo, ale nie chcą więcej polityki wymiaru sprawiedliwości, nie chcą żeby było realizowane hasło że sprawiedliwość jest uciekinierką z obozu rządzących.",1.54,1.29,1.28,1.52,1.2,HAP
"bo reformę sądownictwa, którą dobrze zdiagnozowali rządzący, że Polacy chcą zreformować sądownictwo, ale nie chcą więcej polityki wymiaru sprawiedliwości, U was, za waszych rządów, sprawiedliwość wyszła z sali sądowej a weszła na nią polityka.",0.98,1.03,0.94,1.1,0.97,FEA
"nie zrobimy tego inaczej niż przyjmując pakiet demokratyczny, pakiet konstytucyjny Kukiza. My się z nim na ten temat dogadaliśmy. bo reformę sądownictwa, którą dobrze zdiagnozowali rządzący, że Polacy chcą zreformować sądownictwo, ale nie chcą więcej polityki wymiaru sprawiedliwości,",1.08,0.93,0.93,1.06,0.86,HAP
"Chcę też powiedzieć bardzo jasno i jednoznacznie, że możecie się bać tego że lewica wraca do parlamentu, bo my nie mamy w naszym gronie starych kumpli z AWSu i ręka nie zadrży, kiedy trzeba będzie zagłosować za odpowiedzialnością dla tych którzy konstytucję naruszyli.",1.09,0.59,0.55,0.61,0.49,HAP
"Co chcę powiedzieć że przepraszam panie pośle, ale pan się ośmiesza kiedy pan mówi, że żeście nie podnieśli ręki na Konstytucję. Nie wydrukowanie orzeczenia Trybunału Konstytucyjnego to było tak naprawdę naruszenie zasad ustrojowych, zasad którymi powinniśmy się kierować.",1.14,0.64,0.63,0.8,0.55,HAP
"Odpowiedź jest oczywista i brzmi -  tak, powinniśmy przywrócić Polskę na ścieżkę praworządności. Co chcę powiedzieć że przepraszam panie pośle, ale pan się ośmiesza kiedy pan mówi, że żeście nie podnieśli ręki na Konstytucję.",1.24,0.65,0.64,0.77,0.54,HAP
"Odpowiedź jest oczywista i brzmi -  tak, powinniśmy przywrócić Polskę na ścieżkę praworządności. Przywrócenie praworządności, tak jak lata trwało jej dewastowanie, jeżeli chodzi o Prawo i Sprawiedliwość, to też będzie trwało lata, a my mamy rozpisany kalendarz przywracania Polski na ścieżkę praworządności do 2022 roku, wtedy dopiero tak naprawdę ostatecznie da się posprzątać po tym co PiS przez te lata nawyczyniał.",0.52,0.23,0.22,0.29,0.21,HAP
"Odpowiedź jest oczywista i brzmi -  tak, powinniśmy przywrócić Polskę na ścieżkę praworządności. Chcę też powiedzieć bardzo jasno i jednoznacznie, że możecie się bać tego że lewica wraca do parlamentu,",1.23,0.68,0.63,0.71,0.54,HAP
"Jeżeli chodzi o samą pozycję Trybunału Konstytucyjnego, to wydaje się, że cała ta cywilizacja prawno-polityczna w świecie zachodnim poszła w złą stronę dlatego że prawnicy nie wybierani demokratycznie mogą zmieniać prawa, mogą akceptować pewne kontrowersyjne reformy jak np. grabież środków z OFE i nie podlegają właściwie żadnym regułom.",1.09,0.7,0.64,0.78,0.51,HAP
"Ten porządek kontestujemy, jesteśmy zwolennikami poważnej dyskusji o nowej konstytucji. My w Konfederacji nie chcemy się wikłać w spory między PiSem, Platformą, SLD,  o to, kto będzie miał więcej udziałów w systemie, który tak naprawdę służy utrwaleniu porządku stworzonego przy Okrągłym Stole.",1.0,0.57,0.49,0.56,0.49,HAP
"Ten porządek kontestujemy, jesteśmy zwolennikami poważnej dyskusji o nowej konstytucji. Prezydent Andrzej Duda taką dyskusję zapowiadał, niestety Konfederacji, ani sił, które są w tej chwili w Konfederacji, do tej dyskusji nigdy nie zaprosił.",0.9,0.45,0.37,0.48,0.36,HAP
